model,modeli,count,year,type,stype,size,emp,make
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+C182+Digital+Camera,EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+C182+Digital+Camera,11,2009,c,ccd,28.52,12,KODAK
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Camera%2C+M522,EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Camera%2C+M522,1,2011,c,ccd,28.4592,14,KODAK
Leica+Camera+AG+M9+Digital+Camera,Leica+Camera+AG+M9+Digital+Camera,1,2002,c,ccd,38.277552,5,LEICA
LEICA+D-LUX+6,LEICA+D-LUX+6,3,2012,c,cmos,41.5152,10,LEICA
Leica+Camera+AG+LEICA+M+%28Typ+240%29,Leica+Camera+AG+LEICA+M+%28Typ+240%29,1,2012,mrls,cmos,864,24,LEICA
Lomo+Lubitel+166B,Lomo+Lubitel+166B,8,1980,lomo,,,,LUBITEL
Minolta+Co.%2C+Ltd.+DiMAGE+Z1,Minolta+Co.%2C+Ltd.+DiMAGE+Z1,1,2003,c,ccd,21.163008,3,MINOLTA
Minolta+Co.%2C+Ltd.+DiMAGE+G500,Minolta+Co.%2C+Ltd.+DiMAGE+G500,3,2003,c,ccd,38.277552,5,MINOLTA
KONICA+MINOLTA+DiMAGE+Z10,KONICA+MINOLTA+DiMAGE+Z10,1,2004,c,ccd,24.745152,3,MINOLTA
KONICA+MINOLTA+DiMAGE+Z3,KONICA+MINOLTA+DiMAGE+Z3,2,2004,c,ccd,24.745152,4,MINOLTA
KONICA+MINOLTA+MAXXUM+7D,KONICA+MINOLTA+MAXXUM+7D,8,2004,dslr,ccd,368.95,6,MINOLTA
motorola+DROID3,motorola+DROID3,1,2011,phone,,,8,MOTOROLA
NIKON+E990,NIKON+E990,3,2000,c,ccd,38.277552,3,NIKON
E995,NIKON+E995,4,2001,c,ccd,38.16,3,NIKON
NIKON+E995,NIKON+E995,8,2001,c,ccd,38.16,3,NIKON
NIKON+E4500,NIKON+E4500,6,2002,c,ccd,38.277552,4,NIKON
NIKON+E5700,NIKON+E5700,2,2002,c,ccd,58.08,5,NIKON
NIKON+D100,NIKON+D100,1,2002,dslr,ccd,367.35,6,NIKON
NIKON+E2100,NIKON+E2100,2,2003,c,ccd,15.485952,2,NIKON
NIKON+E8800,NIKON+E8800,1,2004,c,ccd,58.08,8,NIKON
NIKON+CORPORATION+NIKON+D70,NIKON+CORPORATION+NIKON+D70,16,2004,dslr,ccd,367.35,6,NIKON
NIKON+CORPORATION+NIKON+D2X,NIKON+CORPORATION+NIKON+D2X,1,2004,dslr,cmos,372.09,12,NIKON
NIKON+COOLPIX+P2,NIKON+COOLPIX+P2,1,2005,c,ccd,38.277552,5,NIKON
NIKON+E7900,NIKON+E7900,1,2005,c,ccd,38.277552,7,NIKON
NIKON+COOLPIX+P1,NIKON+COOLPIX+P1,1,2005,c,ccd,38.277552,8,NIKON
NIKON+D70s,NIKON+CORPORATION+NIKON+D70s,1,2005,dslr,ccd,367.35,6,NIKON
