modeli,year,type,stype,size,emp,make,count
SONY+SLT-A55V,2010.0,dslr,cmos,366.6,16.0,SONY,53
SONY+DSLR-A390,2010.0,dslr,ccd,368.95,14.0,SONY,52
SONY+DSC-HX100V,2011.0,b,bsi-cmos,28.0735,16.0,SONY,6
SONY+NEX-5N,2011.0,dslr,cmos,365.04,16.0,SONY,16
SONY+NEX-7,2011.0,mrls,cmos,366.6,24.0,SONY,2
SONY+SLT-A77V,2011.0,dslr,cmos,366.6,24.0,SONY,20
SONY+SLT-A65V,2011.0,dslr,cmos,372.88,24.0,SONY,94
SONY+DSC-RX100,2012.0,c,cmos,116.16,20.0,SONY,3
SONY+SLT-A57,2012.0,dslr,cmos,366.6,16.0,SONY,6
SONY+DSC-RX1,2012.0,c,cmos,852.04,24.0,SONY,1
SONY+SLT-A99V,2012.0,dslr,cmos,852.04,24.0,SONY,75
SONY+DSC-W710,2013.0,c,ccd,28.0735,16.0,SONY,1
SONY+DSC-RX100M2,2013.0,c,bsi-cmos,116.16,20.0,SONY,1
SONY+CYBERSHOT,,c,ccd,,,SONY,1
SONY+HANDYCAM,,v,,,,SONY,1
w48fHQ%3D%3D,,,,,,,1
