model,count,year,type,stype,size,emp,make
FUJIFILM+FinePix+S1000fd,1,2008,c,ccd,28.0735,10,FUJIFILM
FUJIFILM+FinePix+F30,1,2006,c,ccd,41.5152,6,FUJIFILM
PENTAX+Corporation+PENTAX+Optio+33LF,1,2003,c,ccd,21.163008,3,PENTAX
Panasonic+DMC-FZ20,1,2004,c,ccd,24.745152,5,PANASONIC
Apple+iPhone+4S,1,2013,phone,bsi-cmos,15.5268,8,APPLE
Apple+iPhone+5,1,2012,phone,bsi-cmos,15.5268,8,APPLE
Panasonic+DMC-FX07,1,2006,c,ccd,24.745152,7,PANASONIC
PENTAX+Corporation+PENTAX+*ist+DL,1,2005,dslr,ccd,368.95,6,PENTAX
OLYMPUS+OPTICAL+CO.%2CLTD+C3040Z,1,2000,c,ccd,38.277552,3,OLYMPUS
OLYMPUS+CORPORATION+X250%2CD560Z%2CC350Z,1,2003,c,ccd,24.745152,3,OLYMPUS
Canon+PowerShot+A410,1,2005,c,ccd,15.485952,3,CANON
Canon+DIGITAL+IXUS+870+IS,1,2008,c,ccd,28.0735,10,CANON
FUJIFILM+FinePix+S9600,1,2006,c,ccd,48,9,FUJIFILM
FUJIFILM+FinePix4900ZOOM,1,2000,c,ccd,41.5152,2,FUJIFILM
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Z915+DIGITAL+CAMERA,1,2009,c,ccd,28.0735,10,KODAK
EASTMAN+KODAK+COMPANY+KODAK+DX6340+ZOOM+DIGITAL+CAMERA,1,2003,c,ccd,21.163008,3,KODAK
Nikon+Coolpix+P5000,1,2007,c,ccd,38.16,10,NIKON
Panasonic+DMC-TZ5,1,2008,c,ccd,27.7248,9,PANASONIC
FUJIFILM+FinePix+S4000,1,2011,b,ccd,28.0735,14,FUJIFILM
NIKON+CORPORATION+NIKON+D40X,1,2007,dslr,ccd,369.72,10,NIKON
OLYMPUS+IMAGING+CORP.+FE210%2CX775,1,2007,c,ccd,24.745152,7,OLYMPUS
