user_nid,lat,lon
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259556,-83.574628
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259527,-83.574802
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259465,-83.57397
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
82141030@N00,42.259556,-83.574628
