lon,lat,ISO,size,make,secpast,views,type,x,y
6.629862,47.010986,6400,864.0,NIKON,501312194.0,186,dslr,37.0,21.0
8.02946,46.392647,12800,860.4,NIKON,594519284.0,233,dslr,41.0,12.0
7.481474,46.023101,10000,860.4,NIKON,574317163.0,233,dslr,28.0,27.0
7.481474,46.023101,10000,860.4,NIKON,574317536.0,218,dslr,28.0,27.0
7.481474,46.023101,10000,860.4,NIKON,574317706.0,225,dslr,28.0,27.0
8.067054,46.408392,4000,864.0,NIKON,503451336.0,637,dslr,37.0,21.0
8.067054,46.408392,3200,864.0,NIKON,503448758.0,193,dslr,28.0,27.0
7.064552,47.137366,5000,864.0,NIKON,538439600.0,1707,dslr,28.0,27.0
8.067054,46.408392,3200,864.0,NIKON,503447973.0,321,dslr,16.0,15.0
8.067054,46.408392,6400,864.0,NIKON,503452766.0,367,dslr,16.0,15.0
8.067054,46.408392,6400,864.0,NIKON,503451977.0,617,dslr,16.0,15.0
8.02946,46.392647,4000,864.0,NIKON,503451088.0,950,dslr,35.0,38.0
8.067054,46.408392,800,864.0,NIKON,503447492.0,237,dslr,39.0,9.0
8.054866,46.401527,6400,864.0,NIKON,503449350.0,2295,dslr,28.0,20.0
7.481474,46.023101,10000,860.4,NIKON,574318180.0,474,dslr,29.0,27.0
7.481474,46.023101,10000,860.4,NIKON,574383272.0,382,dslr,29.0,27.0
6.719169,46.936491,6400,860.4,NIKON,589509848.0,835,dslr,29.0,27.0
6.719169,46.936491,8000,860.4,NIKON,589513353.0,197,dslr,29.0,27.0
6.719169,46.936491,10000,860.4,NIKON,589514353.0,188,dslr,29.0,27.0
6.719169,46.936491,8000,860.4,NIKON,589510425.0,182,dslr,29.0,27.0
6.719169,46.936491,12800,860.4,NIKON,589512057.0,182,dslr,29.0,27.0
6.719169,46.936491,8000,860.4,NIKON,589513555.0,271,dslr,29.0,27.0
6.719169,46.936491,8000,860.4,NIKON,589513782.0,391,dslr,29.0,27.0
7.476282,46.02623,10000,860.4,NIKON,574385298.0,303,dslr,19.0,9.0
8.02946,46.392647,12800,860.4,NIKON,594520132.0,320,dslr,29.0,27.0
6.575531,46.966079,8000,860.4,NIKON,559441298.0,1071,dslr,29.0,27.0
6.575531,46.966079,8000,860.4,NIKON,559440691.0,480,dslr,19.0,9.0
6.719169,46.936491,12800,860.4,NIKON,589514607.0,184,dslr,36.0,21.0
6.856884,47.054598,5000,864.0,NIKON,536019021.0,257,dslr,36.0,21.0
6.856884,47.054598,5000,864.0,NIKON,536020339.0,267,dslr,19.0,9.0
6.845383,47.108829,6400,864.0,NIKON,502432082.0,190,dslr,19.0,9.0
7.476282,46.02623,10000,860.4,NIKON,574386096.0,241,dslr,36.0,21.0
7.476282,46.02623,10000,860.4,NIKON,574386247.0,449,dslr,36.0,21.0
6.856884,47.054598,5000,864.0,NIKON,536020689.0,297,dslr,29.0,27.0
6.856155,47.059218,5000,864.0,NIKON,536025159.0,486,dslr,19.0,9.0
6.856155,47.059218,5000,864.0,NIKON,536025574.0,262,dslr,29.0,27.0
6.856884,47.054598,5000,864.0,NIKON,536019107.0,262,dslr,19.0,9.0
6.856884,47.054598,5000,864.0,NIKON,536022324.0,274,dslr,35.0,2.0
6.856155,47.059218,4000,864.0,NIKON,536025649.0,291,dslr,29.0,22.0
6.575531,46.966079,8000,860.4,NIKON,559439777.0,339,dslr,32.0,41.0
6.80088,47.104601,8000,860.4,NIKON,559615131.0,117,dslr,31.0,45.0
6.575531,46.966079,8000,860.4,NIKON,559439236.0,484,dslr,41.0,16.0
6.80088,47.104601,8000,860.4,NIKON,559615292.0,122,dslr,41.0,17.0
6.80088,47.104601,8000,860.4,NIKON,559615412.0,119,dslr,38.0,20.0
6.629862,47.010986,6400,864.0,NIKON,501313672.0,1353,dslr,41.0,16.0
6.575531,46.966079,8000,860.4,NIKON,559438993.0,306,dslr,34.0,14.0
6.575531,46.966079,8000,860.4,NIKON,559438481.0,345,dslr,41.0,17.0
6.849433,47.109373,5000,864.0,NIKON,525409935.0,2842,dslr,41.0,17.0
6.850522,47.055972,12800,860.4,NIKON,601110543.0,543,dslr,41.0,17.0
