x,y,phi,radius,distance,phibin,size,year,make,type,emp
-31.3156977691,-10.4080292675,-2.82071996643,33,33.0,18,864.0,2008.0,CANON,dslr,21.0
-33.0831957864,-11.4237540485,-2.80910761959,35,35.0,18,864.0,2012.0,CANON,dslr,20.0
-16.9403387447,-6.08481086099,-2.79675377247,18,18.0,19,864.0,2012.0,CANON,dslr,22.0
-18.862766826,-6.64800930109,-2.80274502752,20,20.0,19,864.0,2012.0,CANON,dslr,20.0
-27.3101321544,-9.75482863555,-2.79852941951,29,29.0,19,864.0,2012.0,CANON,dslr,20.0
-28.2354112123,-10.1371373511,-2.79690302466,30,30.0,19,864.0,2012.0,CANON,dslr,20.0
-31.997074107,-11.4972713541,-2.79663689775,34,34.0,19,864.0,2012.0,CANON,dslr,20.0
-9.35905926757,-3.52250047921,-2.78161849537,10,10.0,20,864.0,2012.0,CANON,dslr,22.0
-14.0685242735,-5.20352042041,-2.78732737625,15,15.0,20,864.0,2012.0,CANON,dslr,20.0
-15.8867242515,-6.05078445793,-2.77768521129,17,17.0,20,864.0,2008.0,CANON,dslr,21.0
-19.6671876557,-7.36218240173,-2.78340219396,21,21.0,20,864.0,2008.0,CANON,dslr,21.0
-20.534107349,-7.89622918738,-2.774482644,22,22.0,20,864.0,2012.0,CANON,dslr,20.0
-21.5984591386,-7.90610920979,-2.79069182854,23,23.0,20,864.0,2012.0,CANON,dslr,22.0
-22.4373485663,-8.51853211022,-2.77874400884,24,24.0,20,864.0,2008.0,CANON,dslr,21.0
-23.3898027374,-8.82706791111,-2.7807286537,25,25.0,20,864.0,2008.0,CANON,dslr,21.0
-25.2622308841,-9.52993655574,-2.78085915957,27,27.0,20,864.0,2008.0,CANON,dslr,21.0
-29.0353572809,-10.8603880027,-2.78366380308,31,31.0,20,864.0,2012.0,CANON,dslr,22.0
-29.9903542603,-11.1614806967,-2.78530624716,32,32.0,20,864.0,2012.0,CANON,dslr,20.0
-30.9803294803,-11.3674616909,-2.78992003845,33,33.0,20,864.0,2012.0,CANON,dslr,22.0
-32.7386026652,-12.3767481808,-2.78015284859,35,35.0,20,864.0,2012.0,CANON,dslr,20.0
-11.1840944314,-4.3492564594,-2.77071018754,12,12.0,21,864.0,2012.0,CANON,dslr,20.0
-12.127815888,-4.68146150124,-2.77320425476,13,13.0,21,864.0,2008.0,CANON,dslr,21.0
-17.6431078617,-7.05129385143,-2.76137700175,19,19.0,21,864.0,2008.0,CANON,dslr,21.0
-24.2289909051,-9.43164883355,-2.77036930292,26,26.0,21,864.0,2012.0,CANON,dslr,20.0
-26.1241557618,-10.0761344639,-2.77347273226,28,28.0,21,864.0,2012.0,CANON,dslr,22.0
-26.9509694535,-10.7072520058,-2.76342782561,29,29.0,21,864.0,2005.0,CANON,dslr,13.0
-27.8749049826,-11.0900708838,-2.76293986084,30,30.0,21,864.0,2008.0,CANON,dslr,21.0
-30.6155744723,-12.3161113884,-2.75912011048,33,33.0,21,864.0,2012.0,CANON,dslr,22.0
-31.6388070174,-12.4493329346,-2.76671696771,34,34.0,21,864.0,2012.0,CANON,dslr,20.0
-5.53964748888,-2.30484396411,-2.74731576308,6,6.0,22,864.0,2008.0,CANON,dslr,21.0
-10.1867697668,-4.15086999545,-2.75465762091,11,11.0,22,864.0,2012.0,CANON,dslr,22.0
-12.9271470753,-5.37483660148,-2.74755810626,14,14.0,22,864.0,2012.0,CANON,dslr,22.0
-14.7986724953,-6.08270436385,-2.7516136203,16,16.0,22,864.0,2008.0,CANON,dslr,21.0
